"quotationId","sourceSheet","workType","workTypeCode","area","areaCode","workScopeCode","name","canonicalScopeId","canonicalScope","groupName","description","unit","quantity","unitRate","amount","remark","makes"
"rinki_2024_11_04","final","Dismantling and Debris","1",,,"A","Dismantling and debris of existing partition Walls and site cleaning","dismantling_partitions","Dismantling existing partitions and site cleaning",,"as/Site Visit","lumpsum","1","15000","15000","",""
"rinki_2024_11_04","final","Civil Work","2",,,"A","PCC for tile levelling","pcc_levelling","PCC / screed for floor levelling",,"providing 1:4 (cement : sand) 100mm thick mortar for existing floor leveling and smooth surface","lumpsum","1","300000","300000","",""
"rinki_2024_11_04","final","Civil Work","2",,,"B","Brick Work For Toilets And Pantry and cafeteria","brick_work","Brick work for toilets, pantry and cafeteria",,"providing first class brick work with 4.5 and 9"" thick with rough plaster finish for Tile work. (as/drawing) also providing ledge wall for Wall Hung WC Cistern","",,,,"",""
"rinki_2024_11_04","final","Civil Work","2",,,"C","RCC Lintel Beam","rcc_lintel","RCC lintel beam",,"providing RCC Lintel Beam For Door Support at +8' lvl","",,,,"",""
"rinki_2024_11_04","final","Civil Work","2",,,"D","plaster work","plaster_work","Cement plaster",,"providing 1:4 (cement : sand) 12mm thick plaster on existing wall (as/site)","",,,,"",""
"rinki_2024_11_04","final","Civil Work","2",,,"E","Raised Floor For Server Room","raised_floor","Raised PCC floor",,"100mm high PCC floor for raised plateform for 75mm pipes for water line","",,,,"",""
"rinki_2024_11_04","final","Flooring","3",,,"A","Floor Tiles Tile Cost - up to 40 TO 60- sqft.","vitrified_floor_tiles","Vitrified floor tiles",,"Providing Fixing of (4' x 2' , 8"" x 4', 2' X 2' ) vitrified Tile with labour and required fixing material. As/3D theme and design Make - Kajaria,Somani, Varmoura,Granicer same as other","sqft","4000","120","480000","","Kajaria; Somani; Varmora; Granicer"
"rinki_2024_11_04","final","Partition and Glass","4",,,"A","75mm thick Gypsum Partition","gypsum_partition","Gypsum partition",,"providing and fixing of gypsum partition (50mm x 50 mm GI section with both side 12mm gypsum board with joint plaster)","sqft","2500","140","350000","",""
"rinki_2024_11_04","final","Partition and Glass","4",,,"B","12mm thick toughened glass Door","glass_door","Toughened glass door",,"Make- gold plus,modi same as other","pcs","13","20000","260000","","Modi; Gold Plus"
"rinki_2024_11_04","final","Partition and Glass","4",,,"C","Providing and fixing flush door with laminate finish required with fittings","flush_door","Flush door with laminate finish",,"","pcs","3","8500","25500","",""
"rinki_2024_11_04","final","Partition and Glass","4",,,"D","12mm thick toughened glass partition fixing with C profile section in floor and gypsum (as/layout) (up to 7' high from floor finish lvl)","glass_partition","Toughened glass partition",,"12mm thick toughened Glass partition with Required Fittings (Make - saint Gobain,Modi same as other) note - existing front glass will remain same","sqft","800","400","320000","","Saint Gobain; Modi"
"rinki_2024_11_04","final","Toilet and Wet Areas","5","Director Cabin","5","A","Floor and Wall Tiles","toilet_tiles","Toilet floor and wall tiles",,"Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,same as other brand)","pcs","300","120","36000","","Kajaria; Somani"
"rinki_2024_11_04","final","Toilet and Wet Areas","5","Director Cabin","5","B","Fixtures for toilet","toilet_fixtures","Toilet fixtures set",,"1. Wall mounted WC (jaquar) with cistern + flush plate (GROHE GD- 2) 2. Table top basin with diverter (MAKE - JAQUAR / SOMAY/HINDWARE 3. wall mirror with light 4. Vanity with granite top with below storage 5. health Faucet 6. toilet paper Holder (Stainless steel heavy duty)","pcs","1","45000","45000","","Jaquar; Grohe; Hindware"
"rinki_2024_11_04","final","Toilet and Wet Areas","5","Director Cabin","5","C","New Bathroom's pvc installation fittings + labour charges with required items.","toilet_plumbing","Bathroom PVC plumbing installation",,"providing fitting and fixing of new pvc pipeline fittings for bathroom fixtures with required items. MAKE - Prince/ Prakash/Finolex same as other","pcs","1","30000","30000","","Prince; Prakash; Finolex"
"rinki_2024_11_04","final","Suspended Ceiling","6",,,"A","GYPSUM ceiling with cove designs (as/design)","gypsum_ceiling","Gypsum ceiling",,"providing and fixing of Gypsum Board ceiling with required ISI GI channel cevered with 12mm thick gypsum board with required fittings.","sqft","3250","125","406250","",""
"rinki_2024_11_04","final","Electrical Works","7",,,"A","ELECTRICAL WORKS FOR COMPLETE OFFICE (as/drawing and 3D design)","electrical_complete","Electrical works for complete area",,"providing fitting and Fixing of False ceiling's wiring,pvc conduiting, switch Board, LED Strips for cove and recessed light for false ceiling, MCB, Distribution Board, 2 - 3 electrical point on work + 4 electrical points in cabin + COVE LIGHT , Cove Strip, other required work (Excluding items from our scope - Fan, Geyser,R.O.,chandelier, earthing's wiring ) Make - polycab for wiring + Anchor Penta for switches and board + Crompton/philips For concealed Ceiling Light .","sqft","3200","200","640000","","Polycab; Anchor; Crompton; Philips"
"rinki_2024_11_04","final","Paint Works","8",,,"A","Walls + Partition And Ceiling's Paint work for complete office area with required putty work","paint_complete","Paint work for walls, partitions and ceiling",,"MAKE - emulsion shine","sqft","8500","30","250000","",""
"rinki_2024_11_04","final","Furniture","9","Reception","9A","A","waiting area sofa set","waiting_sofa","Waiting / lounge sofa",,"as/selection","seat","4","8000","32000","",""
"rinki_2024_11_04","final","Furniture","9","Reception","9A","B","2 seater sofa","waiting_sofa","Waiting / lounge sofa",,"as/selection","seat","2","10000","20000","",""
"rinki_2024_11_04","final","Furniture","9","Reception","9A","D","Reception counter","reception_counter","Reception counter / table",,"as/selection","pcs","1","35000","35000","",""
"rinki_2024_11_04","final","Furniture","9","Reception","9A","E","Reception chair","reception_chair","Reception chair",,"as/selection","pcs","1","7500","7500","",""
"rinki_2024_11_04","final","Furniture","9","Meeting Room","9B","A","meeting's table with laminate finish","meeting_table","Meeting table",,"made of powder coated MS frame(base structure) with PLPB (prelaminated particle board) finish with laminate(as/selection).","pcs","1","24000","24000","",""
"rinki_2024_11_04","final","Furniture","9","Meeting Room","9B","B","meeting table's chairs","meeting_chair","Meeting chair",,"up to 5000/- per seat","pcs","6","5000","30000","",""
"rinki_2024_11_04","final","Furniture","9","Pantry","9C","A","wooden storage below the pantry's slab","below_storage","Wooden storage below counter",,"Made of 19mm thick ply/blockboard/with laminate finish both side with required fittings (SIZE - 6' wide x 3' high x 2' Depth)","sqft","18","1000","18000","",""
"rinki_2024_11_04","final","Furniture","9","Pantry","9C","A","over head storage above the pantry's slab","overhead_storage","Overhead storage",,"Made of 19mm thick ply/blockboard/ with laminate finish both side with required fittings (SIZE - 6' wide x 3' high x 1' Depth)","sqft","18","1000","18000","",""
"rinki_2024_11_04","final","Furniture","9","Pantry","9C","B","granite top","granite_top","Granite counter top",,"19mm thick granite top (single takkar)with required fixing labour and material. Granite base rate - 150/- sq ft","sqft","15","300","4500","",""
"rinki_2024_11_04","final","Furniture","9","Pantry","9C","C","pantry wall tile above slab (2' high) to upper head storage","pantry_wall_tile","Pantry wall tiles",,"Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,Gujrati same as other brand)","sqft","100","120","12000","","Kajaria; Somani"
"rinki_2024_11_04","final","Furniture","9","Pantry","9C","D","sink + mixture and required plumbing installation labour and their material","sink_mixer","Sink, mixer and plumbing",,"sink cost - up to 5000/- wall mixture - up to 3000/-","lumpsum","1","12000","12000","",""
"rinki_2024_11_04","final","Furniture","9","Cafeteria","9D","A","wooden storage below the sink's granite counter","below_storage","Wooden storage below counter",,"Made of 19mm thick ply/blockboard with laminate finish both side with required fittings (SIZE - 6' wide x 3' high x 2' Depth)","sqft","36","1000","36000","",""
"rinki_2024_11_04","final","Furniture","9","Cafeteria","9D","B","granite top for 2 slab","granite_top","Granite counter top",,"19mm thick granite top (single takkar)with required fixing labour and material. Granite base rate - 150/- sq ft","sqft","50","300","15000","",""
"rinki_2024_11_04","final","Furniture","9","Cafeteria","9D","C","pantry wall tile above slab (2' high) to upper head storage","pantry_wall_tile","Pantry wall tiles",,"Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material. (Make - Somani,Kajaria,vamoura,same as other brand)","sqft","150","150","22500","","Kajaria; Somani"
"rinki_2024_11_04","final","Furniture","9","Cafeteria","9D","D","sink + mixture and required plumbing installation labour and their material","sink_mixer","Sink, mixer and plumbing",,"sink cost - up to 5000/- wall mixture - up to 3000/-","lumpsum","1","20000","20000","",""
"rinki_2024_11_04","final","Furniture","9","Workstation Area","9E","A","workstation's table with laminate finish top","workstation","Workstation",,"made of powder coated MS frame structure (internal) with 25mm thick PLPB laminate finish (as/selection)","pcs","53","6000","318000","",""
"rinki_2024_11_04","final","Furniture","9","Workstation Area","9E","B","workstation's chair","office_chair","Office / workstation chair",,"up to 4500/- per seat (mesh Design)","pcs","53","4500","238500","",""
"rinki_2024_11_04","final","Furniture","9","Workstation Area","9E","D","low height division storage","low_height_division_storage","low height division storage",,"structure made of MS and box made of PLPB.","pcs","6","12000","72000","",""
"rinki_2024_11_04","final","Furniture","9","Workstation Area","9E","E","2 sofa seat for informal area","2_sofa_seat_for_informal_area","2 sofa seat for informal area",,"as/selection","pcs","2","8000","16000","",""
"rinki_2024_11_04","final","Furniture","9","Cabin","9G","A","boss's table + side table storage","side_table","Side table",,"made of powder coated MS frame(internal) with 50mm thick PLPB laminted top","pcs","3","27500","82500","",""
"rinki_2024_11_04","final","Furniture","9","Cabin","9G","B","Cabin's head chair","cabin_chair","Cabin / director chair",,"up to 7500/- per seat","pcs","3","7500","22500","",""
"rinki_2024_11_04","final","Furniture","9","Cabin","9G","C","Cabin's visitor chair","visitor_chair","Visitor chair",,"up to 4500/- per seat","pcs","6","4500","27000","23'(L)x13'(W)=299",""
"rinki_2024_11_04","final","Furniture","9","Cabin","9H","A","workstation's table with laminate finish top","workstation","Workstation",,"made of powder coated MS frame(internal) with 50mm thick PLPB laminted top","pcs","6","6000","36000","",""
"rinki_2024_11_04","final","Furniture","9","Cabin","9H","B","workstation's chair","office_chair","Office / workstation chair",,"up to 4500/- per seat","pcs","6","4000","24000","",""
"rinki_2024_11_04","final","Furniture","9","Executive Director Cabin","9I","A","cabin's table with laminate finish top","cabin_s_table_with_laminate_finish_top","cabin's table with laminate finish top",,"made of powder coated MS frame(internal) with 50mm thick PLPB laminted top","pcs","1","22500","22500","",""
"rinki_2024_11_04","final","Furniture","9","Executive Director Cabin","9I","B","Low height storage","low_height_storage","Low height storage",,"made of powder coated MS frame(internal) with PLPB finish two drawer + one shutter below","pcs","1","7500","7500","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Executive Director Cabin","9I","C","Director's chair","cabin_chair","Cabin / director chair",,"_","pcs","1","7500","7500","",""
"rinki_2024_11_04","final","Furniture","9","Executive Director Cabin","9I","D","visitor chair","visitor_chair","Visitor chair",,"_","pcs","3","4000","12000","23'(L)x13'(W)=299",""
"rinki_2024_11_04","final","Furniture","9","Executive Director Cabin","9I","E","sofa set","waiting_sofa","Waiting / lounge sofa",,"as/selection","pcs","2","8000","16000","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","A","cabin's table with laminate finish top","cabin_s_table_with_laminate_finish_top","cabin's table with laminate finish top",,"made of powder coated MS frame(internal) with 50mm thick PLPB laminted top","pcs","1","42000","42000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","B","Low height storage","low_height_storage","Low height storage",,"made of powder coated MS frame(internal) with PLPB finish two drawer + one shutter below","pcs","1","10000","10000","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","C","Director's chair","cabin_chair","Cabin / director chair",,"as/design Selection","pcs","1","7500","7500","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","D","visitor chair","visitor_chair","Visitor chair",,"as/design Selection","pcs","3","4000","12000","23'(L)x13'(W)=299",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","E","sofa set","waiting_sofa","Waiting / lounge sofa",,"as/design Selection","pcs","3","8000","24000","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","F","Coffee table","coffee_table","Coffee table",,"as/design","pcs","2","7500","15000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9J","G","Table's Back Wall Storage","wall_storage","Wall storage",,"as/design","sqft","40","800","32000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","A","Director's table with laminate finish top","director_table","Director / MD table",,"made of powder coated MS frame(internal) with 50mm thick PLPB laminted top","pcs","1","42000","42000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","B","Low height storage","low_height_storage","Low height storage",,"made of powder coated MS frame(internal) with PLPB finish two drawer + one shutter below","pcs","1","7500","7500","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","C","Director's chair","cabin_chair","Cabin / director chair",,"_","pcs","1","7500","7500","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","D","visitor chair","visitor_chair","Visitor chair",,"_","pcs","3","4000","12000","23'(L)x13'(W)=299",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","E","sofa set","waiting_sofa","Waiting / lounge sofa",,"as/design","pcs","3","8000","24000","23'(L)x13'(W)=300",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","F","Coffee table","coffee_table","Coffee table",,"as/design","pcs","2","8000","16000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","G","2 seater sofa","waiting_sofa","Waiting / lounge sofa",,"as/design","sqft","2","8000","16000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","H","Wall Storage","wall_storage","Wall storage",,"as/design","sqft","32","1000","32000","",""
"rinki_2024_11_04","final","Furniture","9","Director Cabin","9K","I","trap door for AHU Unit","trap_door","Trap door for AHU",,"","pcs","2","6000","12000","",""
"rinki_2024_11_04","final","HVAC","12",,,"A","2 AIR HANDLING UNITS (AHU) 5000 CFM DS 4RD 50mm STATIC :- Make - (Carrier/Saleriya/web/ZECO/edgtech) Supply, testing, of double skin air handling unit Casing of air handling unit shall be in double skin construction, inner skin Shall be construction out of 24 gauge plain GS sheet& outer skin in 24 gauge pre-plasticized GS sheet sand witched between 25mm thick Injected PU foam insulation of density not less than 40 kg/Cum and Inspection door, fan section complete with forward curved type centrifugal Fan, and 3 phase squirrel cage induction motor with belt drive drive packag,Coil section with multi row deep chilled and aluminum fins contraction having wall thickness of tubes not less 0.4 mm face velocity across cooling coil shall not exceed 500 FPM, filter section complete with 50 mm thick Washable synthetic fiber filter.","ahu_supply","AHU supply and installation",,"","sqft","3200","325","1040000","","Carrier; Zeco"
"rinki_2024_11_04","final","HVAC","12",,,"B","2 CHILLED WATER PIPING : MAKE - (jindal) Suppling,installation,testing and commissioning of M S heavy C -class piping Insulation with closed cell insulation of 25 mm thick 32mm 3. Y-STRAINER FOR AHUs PIPE LINE : MAKE - (sant/flowell) Supply,installction,testing and commissioning of following ‘Y strainers for Air handling units 32mm 4. Suppling,installing,testing and commissioning of following Ball valves one With Y strainers and other without strainer for AHU Pipe line in let and out let 15mm dia 5. DUCTWORK/AIR TERMINALS : MAKE - (jindal/sail) Supply, fabrication, installation, and testing of sheet metal ducts complete. Hanging arrangement including check nuts in Accordance with the approved shop drawing and specifications etc. 0.63mm (24gauge) GSS 7 Supply & fixing of :- Diffuser with damper (300x300) 8 INSULACTION :- 6 mm Naital rubber (Aflex/accoflex) 9 FLEXIBLE CANVASS CONNECTION:- Supply, installation and testing of 125 MM deep ant vibration flexible Joint at the outlet of packaged unites 10 AHU machine motor starter panel 11 AHU machine installation charge 12 AHU machine transportation and lifting charge","ahu_supply","AHU supply and installation",,"","",,,,"","Jindal"
"rinki_2024_11_04","final","Fire Fighting","13",,,"A","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes. - 65 MM DIA","ms_pipe","MS heavy grade fire pipe","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes.","","mtr","6","1315","7890","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"B","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes. - 50 MM DIA","ms_pipe","MS heavy grade fire pipe","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes.","","mtr","12","825","9900","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"C","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes. - 25 MM DIA","ms_pipe","MS heavy grade fire pipe","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes.","","mtr","48","525","25200","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"9","MS door frame 1200x2100 door capable of accommodating fire hose reel, landing valve, hose pipes, fittings & accessories. The door shall have a front glass with lock and key arrangement & shall be painted with post office red colour (approval shall be taken on the basis of submitted sample before ordering) Cost of fire extinguishers not included in item rate. (Liasioing with civil contractor for making 1200x600x2100 Recessed type mansoary box (by civil contractor).","fire_extinguisher","Fire extinguisher","Providing laying, jointly and testing of Heavy grade MS Pipe ISI Marked 1239 with special accessories such as tees, elbows, nut and bolts with welded joints including cutting & making iron clamps, bracket with metal fastener and painting with 2 Coats of synthetic paint etc. complete as required pipes.","Each","5","11500","57500","661250000","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"A","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto). - 65mm bore","butterfly_valve","Cast iron butterfly valve","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","1","3725","3725","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"13C","P/F S.S Flexable Pipe 1000mm For Sprinklers Pipe Adjust Ceiling Lable as Per Direction with Accessories Complete in all respect.","downward_sprinkler","Ceiling downward flexible sprinkler","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","18","2695","48510","",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"17","Providing & fixing mechanical foam type fire extinguisher 9 ltrs. (ISI marked. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","fire_extinguisher","Fire extinguisher","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","EACH","pcs","2875",,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"18","Providing & fixing of water pressure gas type fire extinguishers of 6 ltr. Capacity complete with initial charges and ISI Marked. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","fire_extinguisher","Fire extinguisher","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","EACH","pcs","2475",,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"25","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","p_f_terraces_pump_panel_16_gauge_complete_in_all","P/F Terraces Pump Panel 16 Gauge Complete in all respect.","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","SET.","pcs","12500",,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"26","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for underground applications confirming to IS: 1239 / IS : 3589 with necessary flanges and fittings such as elbows and as elbows and tees with a primer coat along with wrapping and coating of pipe PYPCOYE 4 mm thick conforming to IS:10221. If required excavation all the type soils refilling the trenches to same finish. Holidays test shall be curried out to check for proper workmanship on the laying of all underground piping.(MAKE ; PIPE COATE)","providing_laying_testing_and_commissioning_of_ms","Providing, laying, testing and commissioning of MS heavy Grade ERW pipes for und","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs",,,,"",""
"rinki_2024_11_04","final","Fire Fighting","13",,,"13D","Providing & Fixing 15 mm dia gun metal (Pendent Type) sprinkle head with quartz bulb complete with all respect","upside_sprinkler","Upright sprinkler","Providing & fixing cast iron Butterfly Valve Complete with MS flange nuts and bolts rubber insertion as required ISI make. (Make : Kartar/ Zoloto).","","pcs","25","700","17500","",""
