"Metoph Architects & Interiors","","","INTERIOR ESTIMATE FOR ICCS, SECTOR -2,NOIDA  (17/12/2025)","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","Office:     C-25, Second Floor, Sector-58, Noida- 201301","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","Mob:       +91- 9634494116 ,   +91-9811470430","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","Email:      metopharchitects@gmail.com","","","","","","","","","",""
"","","","GST:      09SFHPS5759L1Z1","","","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","AMOUNT","REMARK","UNIT PRICE","","","","",""
"SCOPE OF WORK","","","","","","","","","","","","",""
"1","CARPET TILE (500MMX500MM)","as/design and selection","per sqft","100000","120","12000000","actual quantity will measure at site","","","","","",""
"2","VINYL FLOORING","as/design","per sqft","10000","150","1500000","For reception area and other area as/design","","","","","",""
"3","SOFA  (FOR RECEPTION AND LOUNGE AREA)","as/design","per seat","65","15000","975000","it’s a tentative quantity actual will be count at site","","","","","",""
"4","VITRIFIED FLOOR TILE","SIZE - 4'X2' OR 2'X2' (MAKE KAJARIA)","per sqft","10000","200","2000000","dismentling and debris of existing break tiles and replace with new tile with required material and labour","","","","","",""
"5","GYPSUM PARTITION","as/design","per sqft","12000","120","1440000","","","","","","",""
"6","ALUMINIUM PARTITION","as/design","per sqft","3400","350","1190000","","","","","","",""
"7","GLASS PARTITION","as/design","per pcs","3500","450","1575000","","","","","","",""
"8","GYPSUM CEILING","as/design","per pcs","8000","120","960000","","","","","","",""
"9","GRID CEILING","as/design","per pcs","3000","150","450000","","","","","","",""
"10","ELECTRICAL WORK","as/required","lumsum","5000","250","1250000","","","","","","",""
"11","PAINT WORK FOR CEILING AND WALL","as/required","per pcs","50000","25","1250000","","","","","","",""
"12","WORKSTATION","as/required","per pcs","AS PER SITE REQ.","7500","7500","","","","","","",""
"13","OFFICE CHAIR","as/required","per pcs","AS PER SITE REQ.","3200","3200","","","","","","",""
"14","WINDOW BLINDES","as/required","per pcs","2000","140","280000","","","","","","",""
"15","GLASS FILM","as/required","per pcs","5000","35","175000","","","","","","",""
"16","BAFFLE CEILING","as/required","per pcs","1500","450","675000","AS PER DESIGN AND SITE REQUIREMENT","","","","","",""
"17","WALL CLADDING WITH WPC/ CHARCOL PANEL  FOR DECORATIVE WALL","as/required","per pcs","2000","150","300000","","","","","","",""
"TOTAL","","","","","","26030700.00","","","","","","",""
"GST 18%","","","","","","4685526.00","","","","","","",""
"TOTAL COST WITH GST","","","","","","30716226.00","","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","","","",""
"Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            30% Advance , 30% after delivery of material on site (with in initial 10 days), Remaining 20% + 20%  will be done every progressively 10 days.","","","","","","","","","","","","",""
"Estimated Project completion time 30 days","","","","","","","","","","","","",""
"18% GST will be extra on Bill .","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
