"Livzone Interiors","","","BUILDING FINISHING ESTIMATE                             (30.01.2026)","","","","","","","",""
"","","","","","","","","","","",""
"","","","OFFICE:    NRI MARKET,NEAR PARI CHOWK,GR.NOIDA","","","","","","","",""
"","","","","","","","","","","",""
"","","","MOBILE:    +91- 9873005880, 9212587117","","","","","","","",""
"","","","","","","","","","","",""
"","","","EMAIL:      DESIGN.LIVZONE@GMAIL.COM","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","UNIT PRICE","","","","",""
"1","TILE FLOORING WITH CHEMICAL","Providing Fixing of (4'x2' & 2'X'2' ) vitrified Tile with chemical pasting and required fixing material.                                                                                                                                                                                                                                                                                          Make - Kajaria, Somani,  same as other                                                                                                                                          Tile Cost - up to 50/- sqft.                                                                  Skirting will be measure at running feet with the same rate.","per sqft","as/site","160","","","","","",""
"2","PLAIN POP CEILING","plain pop false ceiling with sakarni pop","per sqft","as/site","120","","","","","",""
"3","POP CEILING WITH COVE","COVE will be measure extra in running feet with the same rate of 120 per running feet.","per sqft","as/site","_","","","","","",""
"4","GYPSUM CEILING","providing and fixing of Gypsum Board ceiling with required ISI GI channel cevered with 12mm thick gypsum board with required fittings.                                         Make - Gyprock","per sqft","as/site","110","","","","","",""
"","POP PUNNING OR PLASTER","providing pop plaster over the exisiting plaster finish wall for smooth surfaces and lavelling","per sqft","as/site","35","","","","","",""
"4","ALUMINIUM WINDOWS","with frame and glass","per sqft","as/site","475","","","","","",""
"5","GRANITE STAIRCASE","With single round takkar                                                                                                  granite cost up to 70 sq ft.","per step","1","2500","","","","","",""
"6","PAINT WORK","emulsion paint (Make - Asian)","per sqft","as/site","22","","","","","",""
"7","FLUSH DOOR WITH WOODEN FRAME","40 mm thick both side laminate with required fittings like - tower bolt stopper and stopper with saal wood choukhat","per pcs","as/site","25000","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","",""
"Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            30% Advance , 30% after delivery of material on site (with in initial 10 days), Remaining 20% + 20%  will be done every progressively 10 days.","","","","","","","","","","",""
"Estimated Project completion time 30 days","","","","","","","","","","",""
"18% GST will be extra on Bill .","","","","","","","","","","",""
"","","","","","","","","","","",""
