"Metoph Architects & Interiors","","","INTERIOR ESTIMATE FOR ICCS, SECTOR -2,NOIDA  (17/12/2025)","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Office:     C-25, Second Floor, Sector-58, Noida- 201301","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Mob:       +91- 9634494116 ,   +91-9811470430","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Email:      metopharchitects@gmail.com","","","","","","","","",""
"","","","GST:      09SFHPS5759L1Z1","","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","AMOUNT","UNIT PRICE","","","","",""
"SCOPE OF WORK","","","","","","","","","","","",""
"1","CARPET or  PVC VINYL PLANK","as/design and selection","per sqft","300","120","36000","","","","","",""
"2","CUSTOMISED VINYL WALLPAPER OVER THE EXISITING GLASS WALL","as/design  (BEHIND THE SOFA SET)","per sqft","120","130","15600","","","","","",""
"3","2 SEATER SOFA SET","as/design","per pcs","3","24000","72000","","","","","",""
"4","BOOK SHELF (3' X 8' )","as/design","per pcs","2","20000","40000","","","","","",""
"5","DICE'S COUCH","as/design","per pcs","4","10000","40000","","","","","",""
"6","BEAN BAG","as/design","per pcs","2","10000","20000","","","","","",""
"7","CIRCULAR/HEXAGONAL COUCH","as/design","per pcs","5","10000","50000","","","","","",""
"8","WOODEN STAND FOR CHESS BOARD  AND LUDO","as/design","per pcs","1","5000","5000","","","","","",""
"9","ELECTRICAL WORK FOR HANGING LIGHTS AND OTHER","as/required","lumsum","_","_","20000","","","","","",""
"10","PAINT WORK FOR CEILING AREA","as/required","per pcs","300","40","15000","","","","","",""
"11","TABLE GAME (4 IN ONE )","SIZE - 54INCH X 24  INCH X 32 INCH HIGH                                                                                                 BILLIARD , TABLE TENNIS , HOCKEY , FOOSBALL","lumsum","_","65000","CLIENT'S SCOPE","","","","","",""
"FREIGHT","","","","","","3000.00","","","","","",""
"TOTAL","","","","","","316600.00","","","","","",""
"GST 18%","","","","","","56988.00","","","","","",""
"TOTAL COST WITH GST","","","","","","373588.00","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","","",""
"Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            30% Advance , 30% after delivery of material on site (with in initial 10 days), Remaining 20% + 20%  will be done every progressively 10 days.","","","","","","","","","","","",""
"Estimated Project completion time 30 days","","","","","","","","","","","",""
"18% GST will be extra on Bill .","","","","","","","","","","","",""
"","","","","","","","","","","","",""
