"Metoph Architects & Interiors","","","INTERIOR ESTIMATE FOR MRS.RINKI SINGH,                                                                             1823, ASTRALIS , SECT-94 , NOIDA  (01/05/2025)","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Office:     D-41,Second Floor,Sector-59,Noida- 201301","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Mob:       +91- 9634494116 ,   +91- 8791758757","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Email:      metopharchitects@gmail.com","","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","AMOUNT","UNIT PRICE","","","","",""
"1","DISMENTLING AND DEBRIS","","","","","","","","","","",""
"A","Dismentling and debris of exisitng Walls and site cleaning","as/Site Visit","lumsum","lumsum","lumsum","10000","","","","","",""
"2","CIVIL WORK","","","","","","","","","","",""
"A","PCC for  levelling","providing 1:4 (cement : sand) 100mm thick mortar for exisitng floor leveling and smooth surface","sqft","600","50","30000","","","","","",""
"B","Brick Work For Pantry","as/site","lumsum","_","_","5000","","","","","",""
"D","POP plaster for Exisinig cement block Wall","providing 1:4 (cement : sand) 12mm thick plaster on exisiting wall (as/site)","sqft","1200","35","42000","","","","","",""
"3","Floor Tiles","","","","","","","","","","",""
"A","Floor Tiles for office with 4"" high skirting                                                                                                                 Tile Cost - up to 40 TO 60- sqft.","Providing Fixing of (4' x 2',  2' X 2' ) vitrified Tile with labour and required fixing material.                                                                                                                                          As/3D theme and design                                                                                                                                                    Make - Kajaria,Somani, Varmoura,Granicer same as other","sqft","800","120","96000","","","","","",""
"4","SUSPENDED GRID CEILING","","","","","","","","","","",""
"A","Grid Ceiling (2'x2')","as/design","per sqft","650","90","58500","","","","","",""
"5","ELECTRICAL WORKS","","","","","","","","","","",""
"A","ELECTRICAL WORKS FOR COMPLETE OFFICE","providing fitting and Fixing of False ceiling's wiring,pvc conduiting, switch Board, ceiling panel for grid ceiling, MCB, Distribution Board,                                                                                                                                                                                                                 (Excluding items from our scope - Fan, Geyser,R.O.,chandelier, earthing's wiring )                                                                                                                               Make - polycab for wiring + Anchor Penta  for switches and board + Crompton/philips For concealed Ceiling Light  .","lumsum","55000","55000","55000","","","","","",""
"6","PAINT WORKS","","","","","","","","","","",""
"A","Paint work for complete office area with rquired putty work","MAKE - premium emulsion","lumsum","45000","45000","45000","","","","","",""
"7","Pantry","","","","","","","","","","",""
"A","over head storage above the pantry's slab","Made of 19mm thick ply/blockboard/ with laminate finish both side with required fittings                                                                                                                         (SIZE - 5' wide x 3' high x 1' Depth)","per sqft","15","1000","15000","","","","","",""
"B","granite top","19mm thick granite top (single takker)with required fixing labour and material.                                                                                                                                                    Granite base rate - 150/- sq ft","per sqft","12","300","3600","","","","","",""
"C","pantry wall tile above slab (2' high) to upper head storage","Providing Fixing of (2'x2', 12""x18"", 12""x12"" ) vitrified Tile with labour and required fixing material.  (Make - Somani,Kajaria,vamoura,Gujrati same as other brand)","per sqft","60","120","7200","","","","","",""
"D","sink + mixture and required plumbing installation labour and their material","sink cost  - up to 5000/-                                                                                                                                             wall mixture - up to 3000/-","lumsum","_","_","12000","","","","","",""
"E","wooden flush door with fitting and frame","size - 7'x 3' (laminate finish)","per pcs","1","15000","15000","","","","","",""
"8","HVAC WORK AHU SUPPLY AND INSTALLATION","","","","","","","","","","",""
"A","providing and supply  2000-2500 cfm AHU unit with complete installation and fittings with DUCT","Make - Carrier/Zyco/Waves","lumsum","lumsum","_","150000","","","","","",""
"9","FIRE FIGHTING AND SPRINKLER WORKS","","","","","","","","","","",""
"A","ceiling downword  flexible sprinkler with 1mtr lengh","Make - TYKO","per pcs","5","2000","10000","","","","","",""
"B","upside sprinkler with testing and commisioning","Make - TYKO","per pcs","5","550","2750","","","","","",""
"C","3 fire detector with shielded wiring and fire alarm panel with hooter + testing and commisioning","Make - AGNI or same as other","per pcs","3","1500","4500","","","","","",""
"GRAND TOTAL  (A TO I )","","","","","","561550.00","","","","","",""
"GST 18%","","","","","","101079.00","","","","","",""
"TOTAL PROJECT COST WITH GST","","","","","","662629.00","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","","",""
"1. Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            30% Advance , 20% after delivery of material on site (with in initial 20 days), Remaining 15% -15% - 15% progressively every  20 days , 5% at the time of finishing.","","","","","","","","","","","",""
"2. Excluding items or works from our estimate and scope of works. ( i.e.TV ,Decor items,Projector,IT Server,paintings,planters,Wall Art,Ceiling and walls Fans,Signage ,Logo,Wall Graphics, Decortive lights,Signage kitchen's Appliances, Electrical fixtures like - chandelier,decorative lights,geyser,fans, curtains,WIFI internet routers.","","","","","","","","","","","",""
"3. Extra Items from our estimate or scope of work will be chareged Saperately. (after approval)","","","","","","","","","","","",""
"4. Estimated Project completion time 30 to 45 days","","","","","","","","","","","",""
"5.18% GST will be extra on Bill and 28% gst on AHU Unit + Split Ac","","","","","","","","","","","",""
"","","","","","","","","","","","",""
