"Metoph Architects & Interiors","","","INTERIOR ESTIMATE FOR MR. SANJAY, UNIT NO-1714, WAVE ONE                                                                               SECTOR-18 , NOIDA                                           (Date - 10/12/2025)","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Office:     C-25, Second Floor, Sector-58, Noida- 201301","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Mob:       +91- 9634494116 ,   +91-9811470430","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Email:      metopharchitects@gmail.com","","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","AMOUNT","UNIT PRICE","","","","",""
"1","FURNITURES","","","","","","","","","","",""
"a","5 SEATER SOFA SET   (3unit +2unit )","as/design","per pcs","5","15000","75000","","","","","",""
"b","CENTRE TABLE","Size - 600mm x 600 mm   (as/design)","per pcs","1","10000","10000","","","","","",""
"c","SIDE TABLE","Size - 450mm x 450 mm   (as/design)","per pcs","1","7500","7500","","","","","",""
"d","RECEPTION TABLE","Size - 900mm (W) x 300 mm (D) x 1050mm (H)  (as/design)","per pcs","1","25000","25000","","","","","",""
"e","RECEPTION'S CHAIR","(as/design)","per pcs","1","5000","5000","","","","","",""
"f","MAIN GLASS DOOR PANELLING","2"" wide wooden panelling with laminate finish","run ft.","28","300","8400","","","","","",""
"2","MD CABIN","","","","","","","","","","",""
"a","2 SEATER SOFA/COUCH  (1unit +1unit )","as/design","per pcs","2","10000","20000","","","","","",""
"b","WALL DÉCOR WITH WALLPAPER (BEHIND THE COUCH'S WALL)","as/design","per sqft","60","150","9000","","","","","",""
"c","EXECUTIVE CHAIR","Size - 600mm x 600 mm   (as/design)","per pcs","2","7500","15000","","","","","",""
"d","BOSS CHAIR","Size - 450mm x 450 mm   (as/design)","per pcs","2","12000","24000","","","","","",""
"e","MD TABLE WITH SIDE STORAGE","Size - 2100mm (W) x 800 mm (D) x 750 mm (H)  (as/design)","per pcs","1","55000","55000","","","","","",""
"f","CARPET TILE FLOOR","(as/design)","per sqft","100","175","17500","","","","","",""
"g","WOODEN PANELLING OVER THE EXISTING GLAZING FRAME","_","run ft.","30","450","13500","","","","","",""
"h","WPC WALL CLADDING BEHIND THE MD TABLE","(as/design)","per sqft","100","200","20000","","","","","",""
"i","EXTERNAL GLAZING ROLLER BLINDS","(as/design)","per sqft","110","150","16500","","","","","",""
"j","GLASS FILM OVER THE EXISITNG GLASS","(MAIN DOOR + MD CABINS PARTITION)","per sqft","100","50","5000","","","","","",""
"k","GLASS PARTITION COVERING WITH PANELING","as/discussed","lumsum","1","20000","20000","","","","","",""
"l","ELECTRICAL WORK","wiring, hanging light and other required works","per pcs","1","15000","15000","","","","","",""
"TOTAL","","","","","","361400.00","","","","","",""
"GST 18%","","","","","","65052.00","","","","","",""
"TOTAL INTERIOR COST WITH GST","","","","","","426452.00","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","","",""
"Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            30% Advance , 30% after delivery of material on site (with in initial 10 days), Remaining 20% + 20%  will be done every progressively 10 days.","","","","","","","","","","","",""
"Estimated Project completion time 30 days","","","","","","","","","","","",""
"18% GST will be extra on Bill .","","","","","","","","","","","",""
"","","","","","","","","","","","",""
